row_id,team1_name,team2_name,Prediction,PredictedLabel,Explanation 1 Strength,Explanation 1 Feature,Explanation 1 Value,Explanation 2 Strength,Explanation 2 Feature,Explanation 2 Value,Explanation 3 Strength,Explanation 3 Feature,Explanation 3 Value,Explanation 4 Strength,Explanation 4 Feature,Explanation 4 Value,Explanation 5 Strength,Explanation 5 Feature,Explanation 5 Value,Explanation 6 Strength,Explanation 6 Feature,Explanation 6 Value,Explanation 7 Strength,Explanation 7 Feature,Explanation 7 Value,Explanation 8 Strength,Explanation 8 Feature,Explanation 8 Value,Explanation 9 Strength,Explanation 9 Feature,Explanation 9 Value,Explanation 10 Strength,Explanation 10 Feature,Explanation 10 Value
1118,Houston,Murray State,0.5963863134384155,1,++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'13.7',--,team2[team_AP_rank] (6 weeks avg),'21.25',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[opponent_score] (6 weeks median),'59.5',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[free_throw_pct] (6 weeks avg),'65.35',++,team2[team_conf] (6 weeks latest),'OVC',++,team1[assists] (6 weeks avg),'18.21429',--,team2[turnovers] (6 weeks avg),'10.2'
1119,Houston,New Mexico State,0.7827619910240173,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'9.363636',++,team2[team_conf] (6 weeks latest),'WAC',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team1[team_conf] (6 weeks latest),'AAC',--,team1_location,'N',++,team1[assists] (6 weeks avg),'18.21429',++,team2[three_point_pct] (6 weeks avg),'31.975',+,team1[free_throw_pct] (6 weeks avg),'65.35',-,team1[turnovers] (6 weeks skewness),'1.242057'
1120,Houston,Norfolk State,0.8379995822906494,1,++,team1[team_margin] (6 weeks avg),'11.57143',++,team2[team_conf] (6 weeks latest),'MEAC',++,team1[team_conf] (6 weeks latest),'AAC',--,team2[team_margin] (6 weeks avg),'10.272730000000001',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team1[blocks] (6 weeks avg),'5.071429',++,team1[opponent_score] (6 weeks min),'46.0',+,team1[free_throw_pct] (6 weeks avg),'65.35',+,team2[opponent_id] (6 weeks skewness),'-2.630415',+,team1[assists] (6 weeks avg),'18.21429'
1121,Houston,North Carolina,0.5317343473434448,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_AP_rank] (6 weeks avg),'25.0',--,team2[team_conf] (6 weeks latest),'ACC',++,team1[team_conf] (6 weeks latest),'AAC',--,team2[team_margin] (6 weeks avg),'4.5',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team1[assists] (6 weeks avg),'18.21429',++,team2[opponent_score] (6 weeks median),'75.0',++,team1[opponent_score] (6 weeks min),'46.0',-,team2[opponent_score] (6 weeks min),'43.0'
1122,Houston,Notre Dame,0.5491881966590881,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'6.5833330000000005',--,team2[team_conf] (6 weeks latest),'ACC',--,team2[opponent_id] (6 weeks skewness),'2.960369',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team1[three_point_pct] (6 weeks avg),'31.485709999999997',++,team1[blocks] (6 weeks avg),'5.071429',++,team1[assists] (6 weeks avg),'18.21429',++,team2[defensive_rebounds] (6 weeks avg),'28.58333'
1123,Houston,Ohio State,0.5405616760253906,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_AP_rank] (6 weeks avg),'19.90909',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[team_conf] (6 weeks latest),'Big 10',--,team1_location,'N',--,team2[team_margin] (6 weeks avg),'2.416667',--,team2[turnovers] (6 weeks avg),'9.916667',++,team2[three_point_pct] (6 weeks avg),'38.35',++,team1[opponent_score] (6 weeks min),'46.0'
1124,Houston,Providence,0.6260198950767517,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_AP_rank] (6 weeks avg),'11.0',++,team1[team_conf] (6 weeks latest),'AAC',--,team2[team_margin] (6 weeks avg),'2.5',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[team_conf] (6 weeks latest),'Big East',++,team1[assists] (6 weeks avg),'18.21429',++,team2[opponent_score] (6 weeks median),'74.5',++,team2[three_point_pct] (6 weeks avg),'34.88',++,team1[win] (6 weeks avg),'0.7857143'
1125,Houston,Purdue,0.473772257566452,0,---,team2[team_AP_rank] (6 weeks avg),'5.692308000000001',++,team1[team_margin] (6 weeks avg),'11.57143',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[team_conf] (6 weeks latest),'Big 10',++,team1[assists] (6 weeks avg),'18.21429',--,team2[team_margin] (6 weeks avg),'2.461538',--,team2[opponent_id] (6 weeks skewness),'3.082415',++,team1[opponent_score] (6 weeks min),'46.0',++,team1[win] (6 weeks avg),'0.7857143'
1126,Houston,Richmond,0.7940312027931213,1,+++,team1[team_margin] (6 weeks avg),'11.57143',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[team_margin] (6 weeks avg),'3.5',++,team1[team_conf] (6 weeks latest),'AAC',--,team1_location,'N',++,team1[assists] (6 weeks avg),'18.21429',++,team1[win] (6 weeks avg),'0.7857143',++,team1[blocks] (6 weeks avg),'5.071429',++,team1[free_throw_pct] (6 weeks avg),'65.35',-,team2[turnovers] (6 weeks avg),'10.0'
1127,Houston,Rutgers,0.6618850231170654,1,+++,team1[team_margin] (6 weeks avg),'11.57143',++,team1[team_conf] (6 weeks latest),'AAC',--,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team2[three_point_pct] (6 weeks avg),'34.10909',--,team2[opponent_AP_rank] (6 weeks avg),'13.85714',++,team1[opponent_score] (6 weeks min),'46.0',--,team1[three_point_pct] (6 weeks avg),'31.485709999999997',--,team1_location,'N',--,team2[team_margin] (6 weeks avg),'0.8181818000000001'
1128,Houston,South Dakota State,0.6138288378715515,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'14.5',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team1[assists] (6 weeks avg),'18.21429',++,team1[team_conf] (6 weeks latest),'AAC',--,team2[field_goals_made] (6 weeks avg),'30.636359999999996',--,team2[team_score] (6 weeks avg),'84.72726999999999',--,team2[turnovers] (6 weeks avg),'8.909091',++,team1[win] (6 weeks avg),'0.7857143',+,team1[blocks] (6 weeks avg),'5.071429'
1129,Houston,San Diego State,0.619012713432312,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'7.153846000000001',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[opponent_score] (6 weeks median),'58.0',--,team2[defensive_rebounds] (6 weeks avg),'24.4',++,team2[three_point_pct] (6 weeks avg),'40.07333',++,team1[opponent_score] (6 weeks min),'46.0',--,team2[team_conf] (6 weeks latest),'MWC',++,team1[free_throw_pct] (6 weeks avg),'65.35',--,team2[defensive_rebounds] (6 weeks skewness),'0.6182156999999999'
1130,Houston,San Francisco,0.7067310810089111,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'9.636364',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[team_conf] (6 weeks latest),'WCC',++,team1[assists] (6 weeks avg),'18.21429',++,team2[three_point_pct] (6 weeks avg),'35.227270000000004',++,team1[team_conf] (6 weeks latest),'AAC',+,team1[opponent_score] (6 weeks min),'46.0',+,team1[win] (6 weeks avg),'0.7857143',+,team1[blocks] (6 weeks avg),'5.071429'
1131,Houston,Seton Hall,0.6331620216369629,1,++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'3.75',++,team1[team_conf] (6 weeks latest),'AAC',++,team2[three_point_pct] (6 weeks avg),'36.88333',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team1_location,'N',--,team2[team_conf] (6 weeks latest),'Big East',++,team1[free_throw_pct] (6 weeks avg),'65.35',--,team2[opponent_AP_rank] (6 weeks avg),'21.0',++,team1[win] (6 weeks avg),'0.7857143'
1132,Houston,Saint Mary's,0.5825076699256897,1,+++,team1[team_margin] (6 weeks avg),'11.57143',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[team_AP_rank] (6 weeks avg),'20.85714',--,team2[team_margin] (6 weeks avg),'5.818182',--,team2[team_conf] (6 weeks latest),'WCC',--,team2[turnovers] (6 weeks avg),'9.909091',--,team1_location,'N',++,team1[assists] (6 weeks avg),'18.21429',++,team1[blocks] (6 weeks avg),'5.071429',++,team1[free_throw_pct] (6 weeks avg),'65.35'
1133,Houston,Saint Peter's,0.7587779760360718,1,++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'8.153846000000001',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team2[team_conf] (6 weeks latest),'MAAC',--,team2[opponent_score] (6 weeks min),'36.0',--,team1_location,'N',--,team2[opponent_score] (6 weeks median),'58.0',++,team1[team_conf] (6 weeks latest),'AAC',+,team2[opponent_id] (6 weeks skewness),'-1.82665',+,team1[free_throw_pct] (6 weeks avg),'65.35'
1134,Houston,Texas A&M-CC,0.8781322836875916,1,+++,team1[team_margin] (6 weeks avg),'11.57143',+++,team2[team_conf] (6 weeks latest),'Southland',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team1[free_throw_pct] (6 weeks avg),'65.35',--,team2[team_margin] (6 weeks avg),'1.833333',++,team1[opponent_score] (6 weeks min),'46.0',++,team1[blocks] (6 weeks avg),'5.071429',--,team2[opponent_id] (6 weeks skewness),'1.6112309999999999',+,team1[win] (6 weeks avg),'0.7857143'
1135,Houston,TCU,0.7812447547912598,1,+++,team1[team_margin] (6 weeks avg),'11.57143',++,team1[team_conf] (6 weeks latest),'AAC',--,team2[team_conf] (6 weeks latest),'Big 12',--,team1_location,'N',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team2[team_margin] (6 weeks avg),'-2.071429',++,team1[opponent_score] (6 weeks min),'46.0',+,team2[three_point_pct] (6 weeks avg),'30.942859999999996',-,team2[opponent_id] (6 weeks skewness),'0.3104624',+,team1[blocks] (6 weeks avg),'5.071429'
1136,Houston,Tennessee,0.40245625376701355,0,++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'9.615385',--,team2[team_AP_rank] (6 weeks avg),'15.46154',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team1[team_conf] (6 weeks latest),'AAC',--,team2[team_conf] (6 weeks latest),'SEC',++,team1[assists] (6 weeks avg),'18.21429',--,team2[opponent_id] (6 weeks skewness),'3.0010310000000002',++,team1[free_throw_pct] (6 weeks avg),'65.35',--,team1_location,'N'
1137,Houston,Texas,0.6388465166091919,1,+++,team1[team_margin] (6 weeks avg),'11.57143',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[team_AP_rank] (6 weeks avg),'20.90909',--,team1_location,'N',--,team2[team_conf] (6 weeks latest),'Big 12',--,team2[opponent_score] (6 weeks min),'41.0',--,team2[opponent_score] (6 weeks kurtosis),'1.3031540000000001',++,team1[opponent_score] (6 weeks min),'46.0',++,team1[assists] (6 weeks avg),'18.21429'
1138,Houston,Texas Tech,0.5445042252540588,1,++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_conf] (6 weeks latest),'Big 12',--,team2[team_margin] (6 weeks avg),'6.307691999999999',++,team1[team_conf] (6 weeks latest),'AAC',--,team1_location,'N',--,team2[team_AP_rank] (6 weeks avg),'11.69231',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team1[free_throw_pct] (6 weeks avg),'65.35',-,team2[opponent_id] (6 weeks skewness),'0.8499818000000001',+,team2[free_throw_pct] (6 weeks min),'46.2'
1139,Houston,Texas Southern,0.895160973072052,1,+++,team2[team_conf] (6 weeks latest),'SWAC',++,team1[team_margin] (6 weeks avg),'11.57143',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[team_margin] (6 weeks avg),'7.4166669999999995',++,team1[free_throw_pct] (6 weeks avg),'65.35',++,team1[win] (6 weeks avg),'0.7857143',++,team1[blocks] (6 weeks avg),'5.071429',+,team1[opponent_score] (6 weeks min),'46.0',+,team1[assists] (6 weeks avg),'18.21429'
1140,Houston,UAB,0.65156090259552,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'10.41667',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team1[assists] (6 weeks avg),'18.21429',++,team1[free_throw_pct] (6 weeks avg),'65.35',++,team2[three_point_pct] (6 weeks avg),'39.025',--,team2[field_goals_made] (6 weeks avg),'28.75',++,team1[win] (6 weeks avg),'0.7857143',-,team2[team_conf] (6 weeks latest),'C-USA',+,team1_location,'N'
1141,Houston,UCLA,0.45375943183898926,0,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'8.357142999999999',--,team2[team_AP_rank] (6 weeks avg),'11.78571',++,team1[assists] (6 weeks avg),'18.21429',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[turnovers] (6 weeks avg),'8.571429',++,team1[team_conf] (6 weeks latest),'AAC',++,team2[free_throw_pct] (6 weeks avg),'76.85714',++,team1[win] (6 weeks avg),'0.7857143',--,team2[team_conf] (6 weeks latest),'Pac 12'
1142,Houston,USC,0.6948241591453552,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_AP_rank] (6 weeks avg),'18.25',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team1[opponent_score] (6 weeks min),'46.0',++,team1[assists] (6 weeks avg),'18.21429',++,team1[win] (6 weeks avg),'0.7857143',++,team2[three_point_pct] (6 weeks avg),'36.53333',++,team1[free_throw_pct] (6 weeks avg),'65.35',++,team2[team_margin] (6 weeks avg),'-1.0'
1143,Houston,Vermont,0.7329483032226562,1,+++,team1[team_conf] (6 weeks latest),'AAC',--,team2[team_margin] (6 weeks avg),'20.28571',++,team2[team_conf] (6 weeks latest),'Am. East',++,team1[team_margin] (6 weeks avg),'11.57143',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[opponent_score] (6 weeks median),'59.0',-,team2[field_goals_made] (6 weeks avg),'28.92857',+,team2[defensive_rebounds] (6 weeks avg),'28.64286',+,team1[blocks] (6 weeks avg),'5.071429',-,team2[opponent_score] (6 weeks min),'42.0'
1144,Houston,Villanova,0.48735037446022034,0,---,team2[team_AP_rank] (6 weeks avg),'10.66667',++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'4.5833330000000005',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[team_conf] (6 weeks latest),'Big East',--,team1_location,'N',++,team1[free_throw_pct] (6 weeks avg),'65.35',+,team1[assists] (6 weeks avg),'18.21429',-,team2[opponent_AP_rank] (6 weeks avg),'16.5'
1145,Houston,Virginia Tech,0.46271780133247375,0,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_conf] (6 weeks latest),'ACC',--,team2[team_margin] (6 weeks avg),'9.214286',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team1_location,'N',--,team2[opponent_id] (6 weeks skewness),'3.257389',--,team1[three_point_pct] (6 weeks avg),'31.485709999999997',--,team2[defensive_rebounds] (6 weeks avg),'24.28571',--,team2[turnovers] (6 weeks avg),'10.5'
1146,Houston,Wisconsin,0.5395631194114685,1,++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_AP_rank] (6 weeks avg),'12.54545',--,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_conf] (6 weeks latest),'AAC',++,team1[free_throw_pct] (6 weeks avg),'65.35',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team1_location,'N',-,team2[team_margin] (6 weeks avg),'0.9090908999999999',-,team1[three_point_pct] (6 weeks avg),'31.485709999999997',-,team1[opponent_score] (6 weeks kurtosis),'-0.4944779'
1147,Houston,Wright State,0.7545442581176758,1,+++,team1[team_margin] (6 weeks avg),'11.57143',--,team2[team_margin] (6 weeks avg),'8.5',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team2[team_conf] (6 weeks latest),'Horizon',++,team1[assists] (6 weeks avg),'18.21429',++,team1[team_conf] (6 weeks latest),'AAC',--,team1_location,'N',+,team1[win] (6 weeks avg),'0.7857143',+,team1[blocks] (6 weeks avg),'5.071429',-,team2[turnovers] (6 weeks avg),'10.5'
1148,Houston,Wyoming,0.7060734629631042,1,+++,team1[team_margin] (6 weeks avg),'11.57143',---,team2[team_AP_rank] (6 weeks avg),'22.0',++,team1[team_AP_rank] (6 weeks avg),'12.57143',++,team1[free_throw_pct] (6 weeks avg),'65.35',--,team2[team_margin] (6 weeks avg),'0.6923077',++,team1[win] (6 weeks avg),'0.7857143',++,team1[opponent_score] (6 weeks min),'46.0',++,team1[assists] (6 weeks avg),'18.21429',++,team2[three_point_pct] (6 weeks avg),'31.078570000000003',+,team2[free_throw_pct] (6 weeks min),'61.5'
1149,Houston,Yale,0.7692079544067383,1,+++,team1[team_margin] (6 weeks avg),'11.57143',++,team1[team_AP_rank] (6 weeks avg),'12.57143',--,team2[team_margin] (6 weeks avg),'4.818182',++,team2[team_conf] (6 weeks latest),'Ivy',++,team1[assists] (6 weeks avg),'18.21429',++,team2[three_point_pct] (6 weeks avg),'31.95455',++,team1[win] (6 weeks avg),'0.7857143',--,team2[opponent_score] (6 weeks median),'64.0',+,team1[blocks] (6 weeks avg),'5.071429',+,team1[opponent_score] (6 weeks min),'46.0'
1150,Illinois,Indiana,0.665486216545105,1,---,team2[team_conf] (6 weeks latest),'Big 10',+++,team1[team_conf] (6 weeks latest),'Big 10',++,team1[team_margin] (6 weeks avg),'2.272727',++,team1[team_AP_rank] (6 weeks avg),'15.27273',--,team1_location,'N',++,team2[team_margin] (6 weeks avg),'-3.5',++,team1[free_throw_pct] (6 weeks avg),'68.51818',++,team1[turnovers] (6 weeks avg),'10.090910000000001',-,team2[opponent_id] (6 weeks skewness),'1.756648',-,team2[free_throw_pct] (6 weeks avg),'74.68333'
1151,Illinois,Iowa,0.2726285755634308,0,--,team2[team_margin] (6 weeks avg),'12.4',--,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_conf] (6 weeks latest),'Big 10',++,team1[team_AP_rank] (6 weeks avg),'15.27273',--,team2[team_AP_rank] (6 weeks avg),'24.22222',++,team1[team_margin] (6 weeks avg),'2.272727',--,team2[team_score] (6 weeks max),'112.0',--,team2[team_score] (6 weeks avg),'85.33333',--,team1[three_point_pct] (6 weeks avg),'37.09091',--,team1[turnovers] (6 weeks skewness),'2.0843990000000003'
1152,Illinois,Iowa State,0.7102805972099304,1,++,team1[team_conf] (6 weeks latest),'Big 10',--,team2[team_conf] (6 weeks latest),'Big 12',++,team1[team_AP_rank] (6 weeks avg),'15.27273',--,team1_location,'N',++,team2[team_margin] (6 weeks avg),'-7.272727000000001',++,team1[team_margin] (6 weeks avg),'2.272727',++,team1[free_throw_pct] (6 weeks avg),'68.51818',--,team2[team_AP_rank] (6 weeks avg),'20.0',+,team2[field_goals_made] (6 weeks avg),'22.818179999999998',-,team1[turnovers] (6 weeks skewness),'2.0843990000000003'
1153,Illinois,Jacksonville State,0.7069286704063416,1,+++,team1[team_conf] (6 weeks latest),'Big 10',++,team2[team_conf] (6 weeks latest),'OVC',--,team1[turnovers] (6 weeks skewness),'2.0843990000000003',--,team2[team_margin] (6 weeks avg),'3.222222',++,team1[team_margin] (6 weeks avg),'2.272727',++,team1[team_AP_rank] (6 weeks avg),'15.27273',--,team2[free_throw_pct] (6 weeks avg),'73.44',++,team1[free_throw_pct] (6 weeks avg),'68.51818',-,team2[opponent_score] (6 weeks min),'52.0',+,team1[win] (6 weeks avg),'0.6363635999999999'
1154,Illinois,Kansas,0.2678782045841217,0,--,team2[team_conf] (6 weeks latest),'Big 12',--,team2[team_AP_rank] (6 weeks avg),'6.714286',++,team1[team_conf] (6 weeks latest),'Big 10',--,team2[team_margin] (6 weeks avg),'8.214286',++,team1[team_AP_rank] (6 weeks avg),'15.27273',++,team1[team_margin] (6 weeks avg),'2.272727',--,team1[three_point_pct] (6 weeks avg),'37.09091',--,team2[opponent_AP_rank] (6 weeks avg),'15.5',--,team2[free_throw_pct] (6 weeks avg),'73.62143',--,team1[turnovers] (6 weeks skewness),'2.0843990000000003'
1155,Illinois,Kentucky,0.3156191408634186,0,--,team2[team_AP_rank] (6 weeks avg),'5.3333330000000005',--,team2[team_conf] (6 weeks latest),'SEC',++,team1[team_conf] (6 weeks latest),'Big 10',--,team2[team_margin] (6 weeks avg),'5.5',++,team1[team_margin] (6 weeks avg),'2.272727',++,team1[team_AP_rank] (6 weeks avg),'15.27273',--,team1[three_point_pct] (6 weeks avg),'37.09091',-,team2[opponent_AP_rank] (6 weeks avg),'17.0',+,team1[team_score] (6 weeks max),'93.0',-,team2[opponent_id] (6 weeks skewness),'1.124965'
1156,Illinois,Longwood,0.6595472097396851,1,--,team2[team_margin] (6 weeks avg),'6.2',++,team1[team_AP_rank] (6 weeks avg),'15.27273',++,team1[team_conf] (6 weeks latest),'Big 10',++,team1[team_margin] (6 weeks avg),'2.272727',--,team1[turnovers] (6 weeks skewness),'2.0843990000000003',++,team2[team_conf] (6 weeks latest),'Big South',++,team1[free_throw_pct] (6 weeks avg),'68.51818',-,team1[opponent_score] (6 weeks kurtosis),'-1.0719290000000001',+,team2[three_point_pct] (6 weeks avg),'41.6',+,team1[opponent_score] (6 weeks min),'55.0'
1157,Illinois,Loyola Chicago,0.49458712339401245,0,---,team2[team_margin] (6 weeks avg),'11.41667',++,team1[team_conf] (6 weeks latest),'Big 10',--,team2[opponent_score] (6 weeks min),'31.0',++,team1[team_AP_rank] (6 weeks avg),'15.27273',--,team2[opponent_score] (6 weeks median),'60.0',++,team1[team_margin] (6 weeks avg),'2.272727',--,team1[turnovers] (6 weeks skewness),'2.0843990000000003',--,team2[steals] (6 weeks avg),'8.166667',+,team1[opponent_AP_rank] (6 weeks avg),'15.8',+,team1[opponent_id] (6 weeks skewness),'1.6437680000000001'
1158,Illinois,LSU,0.5095028877258301,1,++,team1[team_conf] (6 weeks latest),'Big 10',++,team1[team_AP_rank] (6 weeks avg),'15.27273',--,team2[team_conf] (6 weeks latest),'SEC',++,team1[team_margin] (6 weeks avg),'2.272727',--,team2[team_AP_rank] (6 weeks avg),'25.0',--,team2[team_margin] (6 weeks avg),'2.416667',--,team1_location,'N',++,team1[free_throw_pct] (6 weeks avg),'68.51818',++,team1[opponent_AP_rank] (6 weeks avg),'15.8',-,team2[defensive_rebounds] (6 weeks avg),'20.83333'
1159,Illinois,Marquette,0.5912313461303711,1,++,team1[team_conf] (6 weeks latest),'Big 10',--,team2[team_conf] (6 weeks latest),'Big East',++,team1[team_AP_rank] (6 weeks avg),'15.27273',++,team1[team_margin] (6 weeks avg),'2.272727',++,team2[opponent_score] (6 weeks median),'77.0',++,team1[free_throw_pct] (6 weeks avg),'68.51818',--,team2[free_throw_pct] (6 weeks avg),'78.87778',--,team2[team_margin] (6 weeks avg),'0.0',--,team1_location,'N',++,team2[three_point_pct] (6 weeks avg),'34.14444'
1160,Illinois,Memphis,0.4542582929134369,0,--,team2[team_margin] (6 weeks avg),'8.818182',++,team1[team_conf] (6 weeks latest),'Big 10',++,team1[team_AP_rank] (6 weeks avg),'15.27273',--,team2[team_conf] (6 weeks latest),'AAC',++,team1[team_margin] (6 weeks avg),'2.272727',++,team1_location,'N',++,team2[turnovers] (6 weeks avg),'15.333329999999998',++,team1[win] (6 weeks avg),'0.6363635999999999',+,team1[assists] (6 weeks avg),'14.909089999999999',-,team1[three_point_pct] (6 weeks avg),'37.09091'
1161,Illinois,Miami,0.4553453028202057,0,---,team2[team_conf] (6 weeks latest),'ACC',+++,team1[team_conf] (6 weeks latest),'Big 10',--,team2[team_margin] (6 weeks avg),'2.666667',++,team1[team_AP_rank] (6 weeks avg),'15.27273',++,team1[team_margin] (6 weeks avg),'2.272727',++,team1[free_throw_pct] (6 weeks avg),'68.51818',--,team2[field_goals_made] (6 weeks avg),'28.91667',--,team2[team_score] (6 weeks avg),'73.0',--,team1[three_point_pct] (6 weeks avg),'37.09091',-,team1[turnovers] (6 weeks skewness),'2.0843990000000003'
1162,Illinois,Michigan,0.5695302486419678,1,+++,team1[team_conf] (6 weeks latest),'Big 10',--,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_AP_rank] (6 weeks avg),'15.27273',++,team1[team_margin] (6 weeks avg),'2.272727',--,team2[team_margin] (6 weeks avg),'1.0',++,team2[free_throw_pct] (6 weeks avg),'82.24615',++,team2[opponent_score] (6 weeks median),'74.0',++,team1[free_throw_pct] (6 weeks avg),'68.51818',--,team1[turnovers] (6 weeks skewness),'2.0843990000000003',-,team2[defensive_rebounds] (6 weeks avg),'23.92308'
1163,Illinois,Michigan State,0.6101328730583191,1,--,team2[team_conf] (6 weeks latest),'Big 10',++,team1[team_conf] (6 weeks latest),'Big 10',++,team1[team_AP_rank] (6 weeks avg),'15.27273',--,team2[team_AP_rank] (6 weeks avg),'16.33333',++,team1[team_margin] (6 weeks avg),'2.272727',--,team1_location,'N',--,team2[free_throw_pct] (6 weeks avg),'72.12143',+,team1[team_score] (6 weeks avg),'73.27273000000001',+,team1[free_throw_pct] (6 weeks avg),'68.51818',-,team1[turnovers] (6 weeks skewness),'2.0843990000000003'
1164,Illinois,Montana State,0.5353723764419556,1,--,team2[team_margin] (6 weeks avg),'9.416667',++,team1[team_AP_rank] (6 weeks avg),'15.27273',++,team1[team_margin] (6 weeks avg),'2.272727',--,team2[team_conf] (6 weeks latest),'Big Sky',--,team1[turnovers] (6 weeks skewness),'2.0843990000000003',++,team1_location,'N',++,team1[win] (6 weeks avg),'0.6363635999999999',--,team2[team_score] (6 weeks avg),'77.30769000000001',--,team1[three_point_pct] (6 weeks avg),'37.09091',++,team1[free_throw_pct] (6 weeks avg),'68.51818'
1165,Illinois,Murray State,0.6544200778007507,1,+++,team1[team_conf] (6 weeks latest),'Big 10',++,team2[team_conf] (6 weeks latest),'OVC',--,team2[team_margin] (6 weeks avg),'13.7',++,team1[team_AP_rank] (6 weeks avg),'15.27273',++,team1[team_margin] (6 weeks avg),'2.272727',--,team1[turnovers] (6 weeks skewness),'2.0843990000000003',++,team1_location,'N',++,team1[free_throw_pct] (6 weeks avg),'68.51818',--,team2[team_AP_rank] (6 weeks avg),'21.25',+,team1[opponent_id] (6 weeks skewness),'1.6437680000000001'
1166,Illinois,New Mexico State,0.7213771939277649,1,+++,team1[team_conf] (6 weeks latest),'Big 10',++,team2[team_conf] (6 weeks latest),'WAC',--,team2[team_margin] (6 weeks avg),'9.363636',++,team1[team_margin] (6 weeks avg),'2.272727',++,team1[team_AP_rank] (6 weeks avg),'15.27273',--,team1[turnovers] (6 weeks skewness),'2.0843990000000003',++,team1[free_throw_pct] (6 weeks avg),'68.51818',+,team1[win] (6 weeks avg),'0.6363635999999999',+,team1[team_score] (6 weeks avg),'73.27273000000001',-,team2[opponent_score] (6 weeks median),'64.0'
